ID Postagem,Data,Postagem,Funcionalidade (Av1),Funcionalidade (Av2),Funcionalidade,Tipo (Av1),Tipo (Av2),Tipo,Intenção (Av1),Intenção (Av2),Intenção,Análise de Sentimento (Av1),Análise de Sentimento (Av2),Análise de Sentimento,Usabilidade (Av1),Usabilidade (Av2),Usabilidade,UX (Av1),UX (Av2),UX,Artefato (Av1),Artefato (Av2),Artefato,Discutir
1,27/07/2021,Estou tentando fazer o cancelamento e não estou conseguindo 😕 horrível Não estou satisfeita. Alguém pode me ajudar a cancelar isso?,,,,,,,,,,,,,Aprendizado,,Validar,Frustração,,Validar,,,,
2,27/07/2021,É muito ruim 😕😔 eu coloquei sem pagar mas táva là esse já é um problema que não tive uma televisão e nem dinheiro 💸💰 vai querer a baixar um aplicativo bom é que não paga então poriso eu vou dar duas estrela 🔯🌟 😰😰,,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
3,27/07/2021,"O App só é ruim em questão de internet, eu entro e fica ""conexão a internt"" 🤦‍♀️ poderia mudar isso",,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
4,27/07/2021,"De cada três vezes que tento acesso ao aplicativo, em média 1 vez ele abre. Da mais erro de acesso e falha. Implica sempre, pois tenho que desinstalar e instalar sempre, para poder ter acesso ao aplicativo 😠",,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
5,27/07/2021,Muito ruim 😔😔😔😔,,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
6,27/07/2021,😍😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
7,27/07/2021,Amo ❤,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
8,27/07/2021,"Gente me ajuda, pq eu não estou conseguindo pagar o app meu cartão está com limite e não esta aceitando 😑😑😑",,,,,,,,,,,,,Segurança,,Validar,Frustração,,Validar,,,,
9,27/07/2021,🖕🖕🖕🖕🖕🖕,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
10,27/07/2021,🥰😊😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
11,27/07/2021,Muito e o preço e melhor ainda 😀,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
12,27/07/2021,"Download sem funcionalidade, baixa mas n da para ver off-line 🤷‍♀️",,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
13,27/07/2021,Muito bom ✌️✌️✌️ Só que fauta colocar mais filmes que já sairam,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
14,27/07/2021,Ecelente eu amei os gráficos as opções ameiiiiii 💟😎😍,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
15,27/07/2021,Muito bom e. Legal 👌👌🐱🐱😻😽🌷,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
16,27/07/2021,🐕🐩🐬🦈,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
17,27/07/2021,Legal 😸🆗,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
18,27/07/2021,👏🏼👏🏼👏🏼,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
19,27/07/2021,"Super recomendo, muito bom, adorei!!!!!!✨",,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
20,27/07/2021,😱,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
21,27/07/2021,Está sempre a dar erro! 🤬,,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
22,27/07/2021,NAO ESTA CONECTANDO COM O SERVIDOR DISNEY 😑😑😑 DEPOIS DA ULTIMA ATUALIZACA 😡😡😡,,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
23,27/07/2021,Adorei🤗,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
