ID Postagem,Data,Postagem,Funcionalidade (Av1),Funcionalidade (Av2),Funcionalidade,Tipo (Av1),Tipo (Av2),Tipo,Intenção (Av1),Intenção (Av2),Intenção,Análise de Sentimento (Av1),Análise de Sentimento (Av2),Análise de Sentimento,Usabilidade (Av1),Usabilidade (Av2),Usabilidade,UX (Av1),UX (Av2),UX,Artefato (Av1),Artefato (Av2),Artefato,Discutir
1,26/07/2021,😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
2,26/07/2021,Gostei. 🤔,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
3,26/07/2021,"Incríveeel, uso pra ver mais sobre meus ídolos e mostro meu trabalho por lá, posto fotos dos meus desenhos e tudo mais💓💓",,,,,,,,,,,,,Utilidade,,Validar,Motivação,,Validar,,,,
4,26/07/2021,Eu amoooooooo 😍😍😍✌️😍🤩,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
5,26/07/2021,Esse app é muito bom para tira foto e posta da para ver story é muito legal msm👊👏❤,,,,,,,,,,,,,Utilidade,,Validar,Satisfação,,Validar,,,,
6,26/07/2021,Melhor Rede social do mundo 🌎,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
7,26/07/2021,😊,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
8,26/07/2021,Muito bom 🥰,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
9,26/07/2021,Adoro muito muito bom 😍😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
10,26/07/2021,💣,,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
11,26/07/2021,Muito legal divertido 😄,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
12,26/07/2021,E se app e muito bom 💗💯,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
13,26/07/2021,Tô gostando muito 💜💜,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
14,26/07/2021,Yasmin 🤩🤩🤩,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
15,26/07/2021,Tudo bem bb kuwsonl&?*& .. . . . ... 😍😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
16,26/07/2021,😍❤️❤️❤️,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
17,26/07/2021,E muito bom mas n da pra publica meus storys nao vai mas eu amo o ista 😍😍😍😍😍,,,,,,,,,,,,,Eficiência,,Validar,Afeto,,Validar,,,,
18,26/07/2021,Ameiiiii❤😍,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
19,26/07/2021,Muito bom 😊,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
20,26/07/2021,Excelente o aplicativo 👏🏻👏🏻,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
21,26/07/2021,Muito melhor que Facebook!!❤❤❤,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
22,26/07/2021,"Ótimo app ,😘😘",,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
23,26/07/2021,Ótimo 👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
24,26/07/2021,Muito 👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
25,26/07/2021,Muito bom ❣️,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
26,26/07/2021,Legal kkk lindo kk💜💟✌✌ ✌👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
27,26/07/2021,Este aplicativo é muito bom 😃,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
28,26/07/2021,Otimo pra min nunca travou muito bom 👍,,,,,,,,,,,,,Eficiência,,Validar,Satisfação,,Validar,,,,
29,26/07/2021,Muito muito bom❤,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
30,26/07/2021,Está sendo ótimo 👌,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
31,26/07/2021,Muuuiiitooo toop familiaa recomendo muittooooo😍❤,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
32,26/07/2021,Daeva 😥,,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
33,26/07/2021,E muito bom ameiii😍😍😍,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
34,26/07/2021,Amei ♥️😅😉,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
35,26/07/2021,Ameeeiiiiii 😍😍😍,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
36,26/07/2021,Gostei o app não trava amei os efeitos amei mesmo😍😍😍😍😍🤩🤩🤩🤩🤩🤩🤩🤩🤩😍😍😍🤩🤩🤗😍😍🤩🤩😘😍😘🤩😘😍😘😘😘😍😘🤩😍😍😘🤗😍😘🤩🤩😍😘🤩🤩🤗😘🤩🤗,,,,,,,,,,,,,Eficiência,,Validar,Afeto,,Validar,,,,
37,26/07/2021,😍😍😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
38,26/07/2021,Ótimo 😁😁😁😁😁,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
39,26/07/2021,Ótimo trabalho pra mim kkkkk 💟😌,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
40,26/07/2021,Esse app é ótimo 👍 adoro,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
41,26/07/2021,Excelente 👏🏻👏🏻😀,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
42,26/07/2021,Massa 👏👏,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
43,26/07/2021,Ótimo.....amo muito o insta🤩,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
44,26/07/2021,Muito ruim perdi minha conta é tou sem entrar nela a muito tempo 🙁,,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
45,26/07/2021,Muito bom 👏👏👏,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
46,26/07/2021,Ótimo app 🥰❤️,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
47,26/07/2021,🥰🥰,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
48,26/07/2021,Simplesmente sensacional 🥰,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
49,26/07/2021,App muito bom ótima qualidade perfeito 😚,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
50,26/07/2021,Gostei muito ❤❤❤❤ eu adoro aqui tem tudo,,,,,,,,,,,,,Utilidade,,Validar,Satisfação,,Validar,,,,
51,26/07/2021,Avalie sua experiência em relação á facilidade de usodoaapp👏👏👏,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
