ID Postagem,Data,Postagem,Funcionalidade (Av1),Funcionalidade (Av2),Funcionalidade,Tipo (Av1),Tipo (Av2),Tipo,Intenção (Av1),Intenção (Av2),Intenção,Análise de Sentimento (Av1),Análise de Sentimento (Av2),Análise de Sentimento,Usabilidade (Av1),Usabilidade (Av2),Usabilidade,UX (Av1),UX (Av2),UX,Artefato (Av1),Artefato (Av2),Artefato,Discutir
1,26/07/2021,"O app é ótimo não trava em nada super recomendo,vc pode fazer quantas atualizações vc quiser 👍",,,,,,,,,,,,,Eficiência,,Validar,Motivação,,Validar,,,,
2,26/07/2021,Amo 😍😍,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
3,26/07/2021,Ótimo 👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
4,26/07/2021,👎,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
5,26/07/2021,Brasil usa mais que 🤪,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
6,26/07/2021,Ótimo trabalho 😀,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
7,26/07/2021,Muito bom gostei do app recomendo vcs abaixarem 😁,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
8,26/07/2021,Mto bom agr posso falar com meus amigos msm eles longe de mim 😀😀😀,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
9,26/07/2021,Amo whatsapp Messenger ❤👍💗❤ muito legal WhatsApp ❤❤❤💛💚,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
10,26/07/2021,Aaaah amoo muito Zap 😍❤,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
11,26/07/2021,Top gostei 🤜🏽🤛🏽,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
12,26/07/2021,Muito bom app de comunicação por isso recomendo a todos super ameiii E por isso deu 5 estrelinhas❤️,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
13,26/07/2021,Eu só queria que desse pra colocar temas no WhatsApp normal igual da pra colocar no WhatsApp GB😔,,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
14,26/07/2021,"Oque fizeram com a câmera do whatsapp com esse zooooom horrível. Deus me livre tirem isso, tão tirando o resto de paciência q eu tenho pra tirar foto.🤬",,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
15,26/07/2021,Muito bom 👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
16,26/07/2021,👍👍👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
17,26/07/2021,é legal mas tem vezes que ele trava e tem uma semana que não mecho tô inloquesendo 😭,,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
18,26/07/2021,"Meu whats nao quer funcionar de jeito nenhum nao sei por que estou com uma net Boa, tipo ele mão quer recarregar as coisas, áudios, fotos, videos, status... Queria muito que meu whats voltasse ao normal ja vai fazer uma semana isso ja 😡",,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
19,26/07/2021,Muito bom 💖💖💖,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
20,26/07/2021,Muito bom mas prefiro o whatsapp GB muito mais melhor que esse👏👏👏👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
21,26/07/2021,💖💖💖💖💖,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
22,26/07/2021,"Eu nunca tive problema com o zap, mas depois da última atualização, eu não consigo mas enviar um vídeo de 20 minutos, coloco pra enviar e o vídeo vai so 5 ou 6 minutos como se eu estivesse cortado, tá horrível e sem contar com o áudio sai trêmindo, não consigo estudar direito!!!!😬😤",,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
23,26/07/2021,Super mega bom 😍😍😍😆,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
24,26/07/2021,Oi omeu nome e maria vitoria😒 ese a plicativo e muito rum😒,,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
25,26/07/2021,Muito bom maravilhoso (◍•ᴗ•◍)❤(◍•ᴗ•◍)❤,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
26,26/07/2021,"App bom porem eu queria que podesse tipo pegar um video dos status sem precisa ta pedindo a pessoa,fora isso ta tudo ok💁♥️🖤",,,,,,,,,,,,,Eficiência,,Validar,Satisfação,,Validar,,,,
27,26/07/2021,😍😘,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
28,26/07/2021,"Depois dessa última atualização sempre que eu posto alguém vídeo no status perde toda a qualidade e antes não era assim , arrumem isso está horrível 🙄🙄🙄",,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
29,26/07/2021,👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
30,26/07/2021,Bom 😀 watiz,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
31,26/07/2021,😍😍😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
32,26/07/2021,😍😍😍😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
33,26/07/2021,"Desinstalei por motivo de espaço, estou tentando instalar denovo estou com dificuldades não quer instalar 😑",,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
34,26/07/2021,🚷🚵💸🎽🏤🏢v🛂🛂🚴♨🛃⛽🚵d👝e🛄🚴🛅💸🚬😧😉😁📀〽🐍🐏,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
35,26/07/2021,É um aplicativo ótimo 😍❤️❤️❤️,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
36,26/07/2021,Quero atualização 😕 tá orivel tira foto do whatsapp com esse zoom,,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
37,26/07/2021,queria a opção de colocar outros tipos de emoji e temas😟🤘,,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
38,26/07/2021,Não recomendo mais e bom pode ser kkkkkkkkkkkkkkkkkkk😀😀😆 parei😔✋,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
39,26/07/2021,Amooo Whatsapp 🤣🤪🤣🤪,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
40,26/07/2021,E muito bom recomendo baixa❤❤❤👆👆👆👆👆,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
41,26/07/2021,👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
42,26/07/2021,Esse awhatsapp e muito massa kkk❤,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
43,26/07/2021,Ficaria melhor se tivesse efeitos nas chamadas tipo as do Instagram.Petição pro WhatsApp colocar efeitos nas chamadas de vídeo Lara Beatriz ✍🏼,,,,,,,,,,,,,Eficiência,,Validar,Motivação,,Validar,,,,
44,26/07/2021,Tem sido muito divertido participar desse app. Parabéns!😍😍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
45,26/07/2021,Deus é Deus 🙌🙏🙏❤️,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
46,26/07/2021,adorei o app perfeito💅,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
47,26/07/2021,"Eu não gosto de Whatsapp, uso porque sou obrigada 😢",,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
48,26/07/2021,Acabei de atualizar eu amei por causa do negócio de voz de áudio da pra por no 3× 2× 1× kkkkkkkk ameiii😂❤,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
49,26/07/2021,porque vcs não ampliam o programa beta pois meu tablet não esta participando do progama beta pois diz que atingiu o limite de particantes 😡,,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
50,26/07/2021,Eu tive que tirar tudo que eu Tenho olha que eu tenha só 2 aplicativos 2 APLICATIVOS e todas as minhas fotos tudo tudo tudo aaaaaaaaaaaaaaa👹👹🔥🔥😈😡😡😣😫😾💢💢💢👿👿👿👿😄😠💢😠😡😡😣😤😤😤😤😤😤😤😤😾 só por causa disso 😝 o resto e mais ou menos 🐱,,,,,,,,,,,,,Eficiência,,Validar,Frustração,,Validar,,,,
51,26/07/2021,😉😉😉😉😉😉😉adorei muito 👸kkkkkkkkk eu tou muito feliz,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
52,26/07/2021,UwU SO RICA 💅,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
53,26/07/2021,🤩,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
54,26/07/2021,Ameiiiiiiiiiiiiiii💚,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
55,26/07/2021,ótimo o App so q essa última atualização fico horrível mas tirando isso o App e ótimo parabéns pelo trabalho perfeito 😘amei o App so q esta atualização atrapalho muito eu podia dar 5 Estrela so q por causa disso vo dar 4 😙 espera q a próxima atualização seja bem melhor,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
56,26/07/2021,Whatszap 2😎👍 K,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
57,26/07/2021,Muito bom para conversar mais podia tem uma opção de dar dinheiro um para outro mais e muito bom mesmo 👏👍,,,,,,,,,,,,,Eficiência,,Validar,Satisfação,,Validar,,,,
58,26/07/2021,Adorei😍😍,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
59,26/07/2021,Muito bom o whatsapp 😄😄😄😄😄😄,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
60,26/07/2021,👍😘AMO A MINHA VIDA,,,,,,,,,,,,,Satisfação,,Validar,Afeto,,Validar,,,,
61,26/07/2021,Bom 👍,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
62,26/07/2021,WhatsApp muito divertido😘,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
63,26/07/2021,É ótimo aplicativo da pra fazer ligações 💓💓,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
64,26/07/2021,😍❤️,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
65,26/07/2021,😀,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
66,26/07/2021,Horrível 🤮🤢🤢🤪🤮🤢🤢🤢🤮🤮🤮🤢🤢🤕🤥🤮😱🤒🤮🤥🤮🤒🤮😡🤒😱🤮🤒😱🤮🤮😠🤧🤒🤧😱🤒,,,,,,,,,,,,,Satisfação,,Validar,Frustração,,Validar,,,,
67,26/07/2021,🥰🥰🥰🤩,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
68,26/07/2021,🙌🤳,,,,,,,,,,,,,Satisfação,,Validar,Satisfação,,Validar,,,,
