ID Postagem,Data,Postagem,Funcionalidade (Av1),Funcionalidade (Av2),Funcionalidade,Tipo (Av1),Tipo (Av2),Tipo,Intenção (Av1),Intenção (Av2),Intenção,Análise de Sentimento (Av1),Análise de Sentimento (Av2),Análise de Sentimento,Usabilidade (Av1),Usabilidade (Av2),Usabilidade,UX (Av1),UX (Av2),UX,Artefato (Av1),Artefato (Av2),Artefato,Discutir
1,13/07/2021,Muito top😎👍,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
2,13/07/2021,Sem palavras 👌,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
3,13/07/2021,Muito bom 😃,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
4,13/07/2021,Ó tik tok está travando muito 😔💔,,,,Crítica,,Validar,Reflexiva,,Validar,Negativa,,Validar,Eficiência,,Validar,Frustração,,Validar,,,,
5,13/07/2021,O aplicativo quer perder a mania de achar que todo mundo fica em casa parado por causa da hiperemia E por motivos banais simplesmente disparam a bolinha giratória que dá bônus e moedas !! Vcs tem que perder essa mania 👍,,,,Crítica,,Validar,Comportamental,,Validar,Negativa,,Validar,Eficácia,,Validar,Frustração,,Validar,,,,
6,13/07/2021,Sumiu a missões diárias e eu parei de ganhar moedas quando assisto vídeos ...resolvam isso pois eu não sou a única a reclamar do mesmo problema 😠,,,,Crítica,,Validar,Comportamental,,Validar,Negativa,,Validar,Eficácia,,Validar,Frustração,,Validar,,,,
7,13/07/2021,Consigo mim divertir 😁,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
8,13/07/2021,😍😍😍😍,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
9,13/07/2021,Não saquei o dinheiro 😔e sumiu da conta,,,,Crítica,,Validar,Reflexiva,,Validar,Negativa,,Validar,Eficácia,,Validar,Frustração,,Validar,,,,
10,13/07/2021,Muito bom 😃😃,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
11,13/07/2021,Eu amo o tiktok❤️,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Afeto,,Validar,,,,
12,13/07/2021,🤩🤩🤩🤩 é mumto encrivel😁😁😁😁😁😁 eu adorei eu olio todos os dias o tiktok,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Afeto,,Validar,,,,
13,13/07/2021,Nossa e muito bom😊,,,,Elogio,,Validar,Visceral,,Validar,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
