ID Postagem,Data,Postagem,Funcionalidade (Av1),Funcionalidade (Av2),Funcionalidade,Tipo (Av1),Tipo (Av2),Tipo,Intenção (Av1),Intenção (Av2),Intenção,Análise de Sentimento (Av1),Análise de Sentimento (Av2),Análise de Sentimento,Usabilidade (Av1),Usabilidade (Av2),Usabilidade,UX (Av1),UX (Av2),UX,Artefato (Av1),Artefato (Av2),Artefato,Discutir
1,22/07/2021,Aplicativo horrível 😔😔😔😔,,,,,,,,,,Negativa,,Validar,Satisfação,,Validar,Frustração,,Validar,,,,
2,22/07/2021,Catálogo excelente e em Agosto tem Champions League AO VIVO. Tô adoro o Serviço de Streaming. 😍😍,,,,,,,,,,Positiva,,Validar,Satisfação,,Validar,Afeto,,Validar,,,,
3,22/07/2021,Não aceita cartão de débito 😤 as reclamações.,,,,,,,,,,Negativa,,Validar,Eficiência,,Validar,Frustração,,Validar,,,,
4,22/07/2021,"Não consigo assinar, mesmo eu mudando os cartões sempre aparece o mesmo aviso ""Não foi possível atualizar a forma de pagamento. Verifique os dados do cartão ou peça mais informações ao seu banco."" Queria assinar antes que a promoção acabasse😔",,,,,,,,,,Negativa,,Validar,Eficácia,,Validar,Frustração,,Validar,,,,
5,22/07/2021,Não presta. 👎,,,,,,,,,,Negativa,,Validar,Satisfação,,Validar,Frustração,,Validar,,,,
6,22/07/2021,"Designer ótimo, só que não funciona o app.Ele abre e fecha sozinho, todo cheio de bug. Vão resolver o problema quando? 🤗",,,,,,,,,,Negativa,,Validar,Eficácia,,Validar,Estética,,Validar,,,,
7,22/07/2021,Fica dando erro toda vez e tem q tá saindo e voltando no app... N gostei☹️,,,,,,,,,,Negativa,,Validar,Eficiência,,Validar,Frustração,,Validar,,,,
8,22/07/2021,"Decepcionante! Nunca dei 1 estrela para nenhum aplicativo, mas não consigo terminar de assistir um capítulo. Se vc pausa e volta a assistir ele começa a sair do app e não inicia mais o capítulo. Ou vc assiste sem parar ou desiste. No meu caso desisti! 😔",,,,,,,,,,Negativa,,Validar,Eficiência,,Validar,Frustração,,Validar,,,,
9,22/07/2021,Show 😍😍😍😍,,,,,,,,,,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
10,22/07/2021,"Tem Steven Universe, pra mim está ótimo 🥰",,,,,,,,,,Positiva,,Validar,Satisfação,,Validar,Satisfação,,Validar,,,,
