Postagem;UX (Av1);UX (Av2);Usabilidade (Av1);Usabilidade (Av2)
O app é ótimo não trava em nada super recomendo,vc pode fazer quantas atualizações vc quiser 👍;Motivação;Satisfação;Eficiência;Satisfação
Amo 😍😍;Afeto;Satisfação;Satisfação;Satisfação
Ótimo 👍;Satisfação;Satisfação;Satisfação;Satisfação
👎;Satisfação;Frustração;Satisfação;Satisfação
Brasil usa mais que 🤪;Satisfação;Satisfação;Satisfação;Satisfação
Ótimo trabalho 😀;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom gostei do app recomendo vcs abaixarem 😁;Satisfação;Satisfação;Satisfação;Satisfação
Mto bom agr posso falar com meus amigos msm eles longe de mim 😀😀😀;Satisfação;Satisfação;Satisfação;Satisfação
Amo whatsapp Messenger ❤👍💗❤ muito legal WhatsApp ❤❤❤💛💚;Afeto;Satisfação;Satisfação;Satisfação
Aaaah amoo muito Zap 😍❤;Afeto;Satisfação;Satisfação;Satisfação
Top gostei 🤜🏽🤛🏽;Satisfação;;Satisfação;
Muito bom app de comunicação por isso recomendo a todos super ameiii E por isso deu 5 estrelinhas❤️;Satisfação;Satisfação;Satisfação;Satisfação
Eu só queria que desse pra colocar temas no WhatsApp normal igual da pra colocar no WhatsApp GB😔;Frustração;Frustração;Eficiência;Satisfação
Oque fizeram com a câmera do whatsapp com esse zooooom horrível. Deus me livre tirem isso, tão tirando o resto de paciência q eu tenho pra tirar foto.🤬;Frustração;Frustração;Eficiência;Eficiência
Muito bom 👍;Satisfação;Satisfação;Satisfação;Satisfação
👍👍👍;Satisfação;Satisfação;Satisfação;Satisfação
é legal mas tem vezes que ele trava e tem uma semana que não mecho tô inloquesendo 😭;Frustração;Frustração;Eficiência;Eficiência
Meu whats nao quer funcionar de jeito nenhum nao sei por que estou com uma net Boa, tipo ele mão quer recarregar as coisas, áudios, fotos, videos, status... Queria muito que meu whats voltasse ao normal ja vai fazer uma semana isso ja 😡;Frustração;Frustração;Eficiência;Eficiência
Muito bom 💖💖💖;Satisfação;Satisfação;Satisfação;Satisfação
Muito bom mas prefiro o whatsapp GB muito mais melhor que esse👏👏👏👍;Satisfação;Satisfação;Satisfação;Satisfação
💖💖💖💖💖;Satisfação;Satisfação;Satisfação;Satisfação
Eu nunca tive problema com o zap, mas depois da última atualização, eu não consigo mas enviar um vídeo de 20 minutos, coloco pra enviar e o vídeo vai so 5 ou 6 minutos como se eu estivesse cortado, tá horrível e sem contar com o áudio sai trêmindo, não consigo estudar direito!!!!😬😤;Frustração;Frustração;Eficiência;Satisfação
Super mega bom 😍😍😍😆;Satisfação;Satisfação;Satisfação;Satisfação
Oi omeu nome e maria vitoria😒 ese a plicativo e muito rum😒;Frustração;Frustração;Satisfação;Satisfação
Muito bom maravilhoso (◍•ᴗ•◍)❤(◍•ᴗ•◍)❤;Satisfação;Satisfação;Satisfação;Satisfação
App bom porem eu queria que podesse tipo pegar um video dos status sem precisa ta pedindo a pessoa,fora isso ta tudo ok💁♥️🖤;Satisfação;Satisfação;Eficiência;Satisfação
😍😘;Satisfação;Satisfação;Satisfação;Satisfação
Depois dessa última atualização sempre que eu posto alguém vídeo no status perde toda a qualidade e antes não era assim , arrumem isso está horrível 🙄🙄🙄;Frustração;Frustração;Eficiência;Satisfação
👍;Satisfação;Satisfação;Satisfação;Satisfação
Bom 😀 watiz;Satisfação;Satisfação;Satisfação;Satisfação
😍😍😍;Satisfação;Satisfação;Satisfação;Satisfação
😍😍😍😍;Satisfação;Satisfação;Satisfação;Satisfação
Desinstalei por motivo de espaço, estou tentando instalar denovo estou com dificuldades não quer instalar 😑;Frustração;Frustração;Eficiência;Eficiência
🚷🚵💸🎽🏤🏢v🛂🛂🚴♨🛃⛽🚵d👝e🛄🚴🛅💸🚬😧😉😁📀〽🐍🐏;Satisfação;;Satisfação;
É um aplicativo ótimo 😍❤️❤️❤️;Satisfação;Satisfação;Satisfação;Satisfação
Quero atualização 😕 tá orivel tira foto do whatsapp com esse zoom;Frustração;Frustração;Eficiência;Eficiência
queria a opção de colocar outros tipos de emoji e temas😟🤘;Frustração;Afeto;Eficiência;Satisfação
Não recomendo mais e bom pode ser kkkkkkkkkkkkkkkkkkk😀😀😆 parei😔✋;Satisfação;Satisfação;Satisfação;Satisfação
Amooo Whatsapp 🤣🤪🤣🤪;Satisfação;Satisfação;Satisfação;Satisfação
E muito bom recomendo baixa❤❤❤👆👆👆👆👆;Satisfação;;Satisfação;
👍;Satisfação;Satisfação;Satisfação;Satisfação
Esse awhatsapp e muito massa kkk❤;Satisfação;Satisfação;Satisfação;Satisfação
Ficaria melhor se tivesse efeitos nas chamadas tipo as do Instagram.Petição pro WhatsApp colocar efeitos nas chamadas de vídeo Lara Beatriz ✍🏼;Motivação;;Eficiência;
Tem sido muito divertido participar desse app. Parabéns!😍😍;Satisfação;Satisfação;Satisfação;Satisfação
Deus é Deus 🙌🙏🙏❤️;Satisfação;Satisfação;Satisfação;Satisfação
adorei o app perfeito💅;Satisfação;Satisfação;Satisfação;Satisfação
Eu não gosto de Whatsapp, uso porque sou obrigada 😢;Frustração;Frustração;Satisfação;Eficiência
Acabei de atualizar eu amei por causa do negócio de voz de áudio da pra por no 3× 2× 1× kkkkkkkk ameiii😂❤;Satisfação;Satisfação;Satisfação;Satisfação
porque vcs não ampliam o programa beta pois meu tablet não esta participando do progama beta pois diz que atingiu o limite de particantes 😡;Frustração;Frustração;Satisfação;Eficiência
